Country	Rating	Date	Version	Username	Title	Content
US	1	2023-02-13	7.2.0	Perry1744929502	ADS After 30 seconds of playing	As soon as I saw an ad pop up after 30 seconds of playing deleted immediately
US	5	2023-02-12	7.2.0	Trenton Parson	Great game! But there is something I wanna say about it, that I do kind of hate about it	This game is a great dragon raising game! However, there is one thing that has always bothered me about it, and I know  to most people they would not care that much about this. But I wish your dragons could either grow more than once, and become even larger, or slowly get bigger as they level up! That’s some thing that games, like dragon city, or dragons world have that this one does not! Other than that this is a wonderful game!
US	5	2023-02-09	7.2.0	CoD Fan47	Don't install. Crash city	"How do you destroy a game in one update?? Release a game without testing it.
I hope it is fixed.  This has been my go to game the last couple of years. It is the same old story with all the other games I play…I get a Bigger, better dragon, but the bad guys get a even bigger and even meaner dragon.  That how it all goes.
Great art work and great dragons.  Most of the events are fun to play, best if you are in a clan."
US	3	2023-02-09	7.2.0	Acts 2:38 KJV	TOO MANY ADS	There are too many ads &amp; then you have to wait sometimes 30 seconds more before having to wait another 5 seconds. And it’s the same ads over &amp; over…It’s very annoying. I know they want you to buy stuff, but people who won’t spend money on these games aren’t going to change their mind, but might choose to delete it instead. I only play because my friends kid wanted a friend to play it with her. I hope these ads dwindle as time invested increases. Then there’s the fact that 99% are ads for other games. I think we all know how to go to the App Store &amp; search for the type of games we like. I prefer the Swiffer type ads. At least those ads might get me to purchase their product.
US	5	2023-02-08	7.2.0	оозохиопхтохамщойкмкмкцмца	Легенда	Уважаемые разработчики я понимаю для некоторый это обычная игра но для меня это легенда в которую я играл ещё в самом детстве и когда я её увидел в App Store а даже заплакал это легенда если можно это даже 1000000 звёзд
US	2	2023-02-08	7.2.0	meadow Lovvorn	Scam	I keep waching ads and doing the tasks that they say then after I am not rewarded
US	4	2023-02-07	7.2.0	m0nst3r.add1ct	I loved this game	I loved this game a few years ago, I connected it to my Facebook so I would have my progress saved bc I had all these different cool dragons, I was a high level, and I changed phones and ever since then, I logged into my Facebook account I connected it to and all my progress is gone. It’s sad, I miss playing this game, but I don’t know why it’s not giving me my progress back :[
US	3	2023-02-06	7.2.0	DemonLlama 🦙🦙🦙🦙	Fun game with problems	There is so much to do in this game and it can be really fun at times, even though it’s hard to play it for more than 20 minutes at a time. Unless you spend huge amounts of money there is hardly any playtime at all. The game is very pay to win. It wants you to spend giant amounts of real money that some players don’t have. If you don’t spend all that money than the game is really difficult and frustrating. Another problem is the ads. It’s a free game, of course it’s going to have ads, but there shouldn’t be an ad pop up every 2 minutes. Especially when those ads will crash my iPad (it’s a good, new iPad, shouldn’t be crashing) or they will take me to the AppStore without me pressing anything. It seems like the X will alway take me right to the AppStore. The only way I have found to get out of the ads is to close the window.  Not only can you hardly play at all without playing, half the time you can play is taken up by ads
US	1	2023-02-06	7.2.0	SeniorEscuela	REFUND	Workin with these guys for a refund is the most confusing thing possible, it’s almost like they push you in other directions to AVOID helping in advance with getting a refund. They always AND ALWAYS mess up pricing in game, there’s been many times I bought an item for let’s say $24.99 and it says OH ITS HALF OFF, so the original price is marked out, let’s say the original price was $49.99, that gets marked out and replaced with 24.99, but as soon as you buy it you get charged 49.99+ tax, they do this ALL the time, been many times I’ve bought $14.99 charged $35+ and it keeps happening, I’m done buying from these guys because they won’t even help, they just tel you to contact ITunes like iTunes has a say in it… since when did iTunes do service for app purchases in game?
US	5	2023-02-03	7.2.0	dodo dodo do do do	Awesome	"I’m not trying to be obsessed but I have 5 siblings and all of us sit on the couch together playing dragon ml (even my 3 year old sister) I love that there’s always new events and dragons. I love showing of to my siblings all the new dragons I get I also love that I can be friends with my siblings and send them gifts it’s an awesome game and also a fun game but 

The one thing I don’t like is that lets say my sister is on a tablet I’m on a iPad my brothers on a computer then we can’t be friends but if we’re all on the same type of device then we can but since that’s it it’s still a great game and I would really recommend it to anyone oh and also I can’t change my name and I used to be baby shark but I gave my tablet to my brother and play on my iPad so I really really want to change my name 

By: baby shark
Ps (my name in dragon ml)

Pps:what dose ps mean"
US	5	2023-02-02	7.2.0	Spring ✨	Cute Game!	"I really like this game, it is a bit “oooh money please oOooo” but the designs of the dragons are appealing and overall a cute game, I like the elements and stuff I wish the time for hatching and breeding was shorter, and im new so it probably gets longer and I don’t want to spend money for a extra den. But theres one thing I wanna say, I think i found an cute easter egg its sigil battle 18 “Memories of mom”  
I don’t know if its a consequence or not but the hornbill and the pansy flower (the dragons name) represent everlasting love and purity. Which is really sweet if connected with the title :)"
US	5	2023-01-31	7.2.0	Good but give warnings	Good game but give warnings	"So pretty solid game overall but the thing is when you get a lot of gems and you do a certain event some people see the dragon, and just battle until they get it, but it cost diamonds/gems so they waste all of their gems. That’s why they 
should give warnings that it cost gems"
US	5	2023-01-29	7.2.0	applejackcutie2	Good	This the best game ever
US	4	2023-01-26	7.2.0	Àfę	Arena unfairness??	Overall it’s a good game the waiting time can get very long and other small things like but that the main problem is the arena not the function of it but in the rare instance where there’s a tie all the opponents dragons are down and yours are all down to instead of the game dealing a tie breaker or just giving you the win they make you lose and if you want a second chance you have to pay 8 gems so all your dragons can come back only for you to win the match because all your opponents dragons you’ve already defeated I think the developers can handle this way better by either dealing a tie breaker match or just letting you win automatically
US	4	2023-01-25	7.2.0	53244262bobby	Great game, but there are a few issues…	Im a level 82 and have been playing DML since it came out, and I love it a lot. The wait times are pretty long, but i guess it makes sense and keeps players coming back. What I do NOT get is the dungeon and events. Literally, it takes me at least 4 days of constantly playing to even reach the treasure chest where you THINK the dragon will be there waiting for you…but no. You must open it 15 different times and spend like a million stepping stones to be able to get the dragon. The most I have  EVER got without paying before the event was over was like 2/15 times. The point is, why offer a dragon as a reward when it is impossible to get them without paying? Also, some events, not all, but some, are way too difficult. You cannot get like 1/2 of the event dragons without paying, even when you play constantly. I just don’t get it. Some event dragons are pretty easy to get though, like the sixth, seventh, and quartern dragons, so that’s cool. Also, I do NOT get the new arena. I don’t like how I spend a bunch of my hard earned gems just to keep refreshing to get a battle that I can actually win but I can’t because they are all too difficult. But, I still refresh and revive and spend my gems and fight to get those trophies. Oh wait! When the season is over, I get demoted to a lower league that I spent a bunch of gems to get out of and lose 1100 trophies that I spent my gems on to attain. WHY. I don’t like how arena leagues are judged on by your top dragons when the seasons over. It should be by how many battles you fight and win. Even though i have my issues, I really do love this game though. I like the uniqueness of each dragon and how you get to assemble your own team. I like sigils and enchanting and all that stuff. (The events where you find amulets and treasure on a map causes my device to crash a lot though) I don’t know it that’s because of my device or the game but i though I should mention it. 8/10
US	4	2023-01-19	7.2.0	ORiginal Dragyn	Hope my clan sees	Im MamaDragyn, and I’m still here! Ever get my laptop working right, geez, the updates! I miss my clan, 420......
US	1	2023-01-19	7.2.0	AngelinaW1029	Way too pay to win.	This game was fun a few years ago, but this game has become unbelievably boring and money leaching over time. I guarantee you, almost every event that is distributed in this game requires some kind of money spent to actually get what the player wants. Ancient events are boring, repetitive, and are time consuming. If a player wants an ancient from an event, every six hours they would need to log in, assuming they have pretty averaged luck. GameLoft does not care about customer complaints, their responses being consistent of, “We’re sorry to hear that.” Something along the lines. No thanks.
US	5	2023-01-18	7.2.0	MChackerCreeper	Fun game	"This game is one of the best game I’ve played! 👍
My strongest dragon is level 27 and they are so strong, you can feed,enchant and add sigils. This game is so fun!!! 👍👍👍😆"
US	5	2023-01-16	7.2.0	hnaidmd	Ignore My 1 star review	My game was lagging or something but I got my 500 stamping stones and I like the game very much so sorry
US	3	2023-01-16	7.2.0	Meakee98	Love it but	My daughter loves this game. She could play it all day long. I would give it 5 stars but we are unable to change my daughters ID name. I also wish there was an “are you sure you want to sell option” button. My daughter has accidentally sold a few that we have paid for after hatching them. She is devastated when it happens.
US	2	2023-01-13	7.2.0	Ands231	Not like the ads	Am I missing something? Cuz it is not like the ads. in the ads you take a pics and then there is a dragon themed after the pics so I got the app and so far no option to to take photos and get dragons from them. What am I missing?
US	5	2023-01-12	7.2.0	Mandycandy420	Pricing	I’ve been playing this game roughly 2 years the only thing that should change is the price for the extra gems and games and shovels the other dragon game a play the prices are literally half of what this one charges
US	2	2023-01-11	7.2.0	EY2003	Too many ads	Game is fine for my kids. But too many commercials, as crazy as getting 2 ads in a minute and sometimes you cannot even close it out. Ridiculous.
US	1	2023-01-10	7.2.0	Sunrisetec	I’ve learned to hate this game	"I have played this game for years.  Used to love it.  Now I hate it.

Over the years they have increased the ads.

Now it has reached the intolerable point.  The ads pop up and you can’t  get rid of them.  You have to tap so many times it’s so bad.

I just exit the game and restart.

I guess they are getting ready to discontinue, since they don’t seem to care about the playability anymore."
US	5	2023-01-07	7.1.0	paks skis	Dragon m	It a fun game to play
US	5	2023-01-05	7.1.0	unicorn girl 501	Dragon city	Dragon city is amazing it is so interesting and I can be on it for hours and hour and not even know!I love it and I really think you should get it.you can battle dragons,make dragons breed,dragon and you can feed dragons get rare dragons it is really cool!
US	5	2023-01-04	7.1.0	MChackerCreeper	SUPER GOOD	This game is the best game I played ever
US	5	2023-01-04	7.1.0	Timmy the tim dog	Awesome	My childhood
US	4	2023-01-02	7.1.0	wshzgamer1	Why I like dragon,l	Because you see I love dragons like how dinosaurs they use to exist along time a go bot I also like this game called dragon city well I thought  this is dragon city but when I played this I loved it
US	4	2023-01-02	7.1.0	waxikens	Hmm	I love this game I have since I was in elementary school so i thought i’d download it again and i can’t help but think how this game is aimed towards small children but makes everything have such a ridiculous wait time with so many unnecessary advertisements? kind of ridiculous… having to wait 24 hours or spend real life money just for an egg to hatch… still a really fun game though
US	4	2023-01-02	7.1.0	PandaProper	Fun game but missing a simple feature for parents!	My children loved this game on their Amazon Kindles, but recently  they received new Android tablets, and it’s but a massive pain in the neck to get the accounts transferred over. I have both tablets using my Google Play account so I can have parental control over both of them. Apparently, it’s not possible to have two player accounts on the same Google Play profile (which is fine), but even when they’re connect to separate Facebook accounts? That doesn’t make sense to me.
US	5	2022-12-31	7.1.0	𝓼𝓮𝔂𝓲	This is so fun game!	I&#39;m playing together dragonml with my dragon! This is so fun!
US	5	2022-12-29	7.1.0	fun game d.m.l	Dragon mania legends is a fun game	I played this on my old iPad and it still is soooo fun, I can play it all day
US	2	2022-12-29	7.1.0	randomreviews45	Ads	I absolutely love this game and have played for years, however, the ads are totally ruining the game. I’m fine when there is a choice to view them, like to get card packs, but when I’m just playing and an ad comes up that closes the game it makes it impossible and annoying to play. I hope y’all will fix this as the game has become entirely impossible to even play.
US	3	2022-12-27	7.1.0	Weirdo 	Not to bad.	The adds are on the annoying side of purposely trying to make you tap on them. At least game has some reasonable way to earn some things.
US	5	2022-12-27	7.1.0	kdudhe	Cool	It’s very DRAGONY
US	5	2022-12-26	7.1.0	Lisalee337	I play this game when I’m bored	This game is so cool I recommend it is so fun only thing I don’t like is the ads everything else is the best
US	4	2022-12-24	7.1.0	Strahd Zon Zaravich	Awesome and entertaining idle game	I would have given it 5 stars if , it didn’t have so many ads of course it’s not as much as some others however s it is a little irritating sometimes. Overall it’s a good game and I appreciate low key chill vibes of it.
US	1	2022-12-24	7.1.0	Blaze19852022	What is happening?	For some reason it doesn’t let me do the Breeding Blitz to get Candy Cane Dragon.
US	5	2022-12-23	7.1.0	lily loves asmr	Good. Game all should get this game	.
US	4	2022-12-20	7.1.0	Someone who really likes youti	Just a bit annoyed	So I watched the 10 ads for the 500 stepping stones, but when I finished the 10th ad I DIDN’T GET THE STEPPING STONES!!! I’m very disappointed and I want the stepping stones. I’m sure it’s just a bug but if it is can you please fix it.
US	5	2022-12-20	7.1.0	sadie celeste	I’ve played since I was little (fun game)	I’m now 12, and will turn 13 September 15 in 2023 and I realized how long I’ve played this game for and it’s really fun but one thing I thing needs a change is the price of buying gems and etc. it’s way too pricy, I’m not gonna spend 100 dollars on game currency..
US	5	2022-12-18	7.1.0	lazybones 15	Dragon mania The best game.	"This is the best game there’s like so many dragons I’ve already at 36 you guys have to play it is like... The best game! You can get gems coins and even food there is over 100 dragons play it now !
please for me"
US	5	2022-12-17	7.1.0	my is takein	Oof	This is a good game but it’s the wrong game sorry
US	5	2022-12-17	7.1.0	Naturequeen189	PLEASE READ!!	OMG! This game is sooooo fun! I also have an idea to improve the game! I was wondering if you could add AR, to see dragons in the real world! But anyway I LOVE LOVE LOVE this game! ❤️🐉
US	5	2022-12-15	7.1.0	Rainbow charizard 2021	WHY IS IS SO CUTE!?!	I have no words. Just, this game is pure cuteness and wholesomeness. It’s also a cute and fun rpg game. I highly recommend this game to all of you out there!
US	1	2022-12-12	7.1.0	Dragonking001	Wasted time	"Been playing for years only to see the game go from a 4 star to less then 1, if I could give less then 1 I would, events have become cash grab to even if you play every single day and miss no resets. You spent the entire time getting close to the end only to get nothing. Causing the game to become more money hungry. Dungeon is so terrible and it’s the main way to get event currency for awhile. I used to get so much stuff and enjoy the game. Now it just scraps for nothing and has not been enjoyable. Just a waste of time.

As the new tyrant event shows this game company is more desperate for money then players. After years of time playing I am tired of the scummy tactics. Stealing event currency and tickets when a “new stage” starts is a terrible way to keep players going and playing your game. Your game is NOT designed for free to play anymore."
US	1	2022-12-11	7.1.0	epicgamer707	I can’t change the language of the game no matter what	I’ve tried so many times in the settings and it still doesn’t even work. Your game is broken and I would give this half a star if I could.
US	1	2022-12-09	7.1.0	Little Fireball	Go woke? Go broke! LGBT Propaganda in a children’s game? Goodbye!	"Just deleted this game forever. I’ve been playing DML since it was first released... Veteran player, now retiring from this tripe... It was fantastic when it was first released about 8 years ago, but I gradually saw how this game declined over the years with greed. Only pay-to-win players can progress.

NOW: I see the devs have been brainwashed into the Woke Agenda by finally making the Arya character a lesbian, forcing you to read this unnecessary drama in which she tells the player about her new “girlfriend”... What??? What are you doing? That is just ridiculous... We didn’t need sexual propaganda, straight or “LGBT”, in this game that used to be simply about collecting and training cute dragons... This is a game for *children*... If you want to add sexual propaganda into this game, be honest and change the age rating to 18+, but don’t ruin a good kids’ game with the far-left Woke agenda. We just want to collect dragons, not watch a boring woke drama about two young girls sexually attracted to each other! I am a woman, and I find this highly unnecessary and forced - just shoehorned in with the latest update. What, did Disney take over? You do know they’re utterly failing and losing fans and money by shoving sexuality (an adult subject) into their movies and cartoons, right? 🤦🏻‍♀️ 

Deleted forever...... I will NEVER play DML again, nor will I support a company that is for brainwashing and sexualizing young children (like Disney and so many others in these dark days). Very sad, but I did see the little hints with Arya and I had a bad feeling... This is not necessary at all.... Just wow... Stupid move... 

Not only that, but this game’s theme was always an obvious cheap ripoff of How To Train Your Dragon, and I began to hate the game well over a year ago for the reason that the devs got sickeningly greedy, and pretty soon I couldn’t even progress to the next levels to get new habitats or expand my current ones to hold new bred/hatch dragons unless I spent money. I refused to participate in these tedious “events” for new OP dragons, as they were only obtainable for those who dumped unholy amounts of cash into the game. P2W game. Not worth it at all, especially when all the devs do is re-skin the same dragon models over and over. Greed, no creativity whatsoever, tedium, and now a lustful drama in the game... No thanks. 

Goodbye, DML. Won’t be missing this pathetic game. 🙄"
US	1	2022-12-08		Little Fireball	Go woke? Go broke! LGBT Propaganda in a children’s game? Goodbye!	"Just deleted this game forever. I’ve been playing DML since it was first released... Veteran player, now retiring from this tripe... It was fantastic when it was first released , but I gradually saw how this game declined over the years with greed. 

NOW: I see the devs have been brainwashed into the Woke Agenda by finally making the Arya character a lesbian... What??? What are you doing? That is just ridiculous... We didn’t need sexual propaganda, straight or “LGBT”, in this game the user to be simply about collecting and training cute dragons... This is a game for *children*... If you want to add sexual propaganda into this game, change the age rating to 18+, but don’t ruin a good kids’ game with the far-left Woke agenda. We just want to collect dragons, not watch a woke drama about little girls sexually attracted to each other! What, did Disney take over?🤦🏻‍♀️ 
Deleted forever...... I will NEVER play DML again, nor will I support a company that is for brainwashing children (like Disney and so many others in these dark days). Very sad, but I did see the little hints with Arya and I had a bad feeling... This is not necessary at all.... Just wow... Stupid move... 

Not only that, but I began to hate the game well over a year ago for the reason that the devs got sickeningly greedy, and pretty soon I couldn’t even progress to the next levels to get new habitats or expand my current ones to hold new bred/hatch dragons unless I spent money. I refused to participate in these tedious “events” for new OP dragons, as they were only obtainable for those who dumped unholy amounts of cash into the game. 

Goodbye, DML. Won’t be missing this pathetic game. 🙄"
US	3	2022-12-07	7.1.0	U SUS BRO-	Good game but...	all I have to say is the prices. If you&#39;re a ftp player, don&#39;t read this. The prices to do absolutely anything at all in this game are horrifying. The monthly subscriptions. The 24hr+ wait times and 10$ skips to get the most common starter dragon. The 100$ for ONE dragon. The weekly, new, super-rare dragons that are impossible to get without purchases. The extreme list of things you can do with spending money, and the teeeny-tinyyy list of things you can do as a ftp-er. The gameplay is fun, addicting, and I developed deep emotional bonds with some dragons, but the prices made me quit after spending 1,000$ + usd. Good luck to any ftp-er&#39;s.
US	1	2022-12-05	7.1.0	ohlael1	stop the pop up ads	i i caffadadadadadda  addaxq
US	1	2022-12-05	7.1.0	qscfgyujmkol.	Why did you ruin the game?	I had liked this game, but you know what? You ruined it! You made Arya gay! Seriously you gave her a girlfriend! For what? You ruined DragonML! Don’t respond to this with a bunch of “that is totally normal” it is not! It goes against what God commands! If I could send this review with zero stars I would, You ruined this game, you might get more people who are caught in the trap nowadays but your game is stupid.
US	4	2022-12-04	7.1.0	Puppies ccl	Awesome game	Amazing game but I wish that there weren’t random adds when your on your island.
US	5	2022-12-04	7.1.0	My writing 👌	❤️‍🔥best game ever	This game is the best I love how there is many dragons and they never run out I also love that this game is not boring. Every now and then there is a cool event take my advise and download it.
US	1	2022-12-03	7.1.0	Haley 🐋	Can’t Connect to Facebook	While I do love this game, I am not able to connect to Facebook. I recently got a new phone and I downloaded the game again. Everything works fine but when I try to connect to Facebook it does not work. I miss my old account. :(
US	4	2022-12-02	7.1.0	shrimp the raptor	Was the plan to make a zoo?	I really do love this game.though It’s more like a zoo than a village.
US	4	2022-12-01	7.1.0	my animal world	I love it😀👍🏾	Great job.
US	5	2022-11-29	7.1.0	Chengxi Tan	Childhood memories	This game is now in my childhood memories I remember lovingplaying  this game for a couple hours. I usually don’t stop until I run out of energy. If I wasn’t I would be in a constant addiction. This game is one of the first dragon based game I played and it was definitely worth it.
US	1	2022-11-27	7.0.2	LittlePipitPup	PLEASE FIX THE VIDEO PROBLEM!	Please!
US	2	2022-11-27	7.0.2	CeUNexTuesday	Forced adds	Seriously disappointed, liked the game and the ease to play, but getting a forced add after waiting 30 min for my food to be collected is not cool bro.
US	4	2022-11-27	7.0.2	serious right neow	Ads	I enjoy playing the game but the only thing I don’t like is the ads, I used to play this game a while ago and idk if I’m remembering wrong but it didn’t have ads only if you wanted extra rewards or something. It’s not that many ads but I hate ads so much it annoys me, but either way good game I recommend
US	2	2022-11-26	7.0.2	🐺forever	Disrespectful	"It’s an ok game and all, but the “tribal dragon” is pretty racist! I feel like you guys shouldn’t go around making races into dragons! Not to mention the pilgrim dragon, WE SHOULD NOT EVEN CELEBRATE PILGRIMS ON THANKSGIVING.
It is not fair to celebrate Columbus when he was not even smart enough to know what was India and what was not.
Thanksgiving is a holiday founded on the dead bodies of intelligent people who lived here in America longer than many of us know.
On thanksgiving, I celebrate the Indigenous people, and the feats they have conquered.
And all I can do is support and advocate for what is right."
US	4	2022-11-26	7.0.2	anime is life	Ad videos	This game is really fun but recently I’ve not really cared for the interactive video ads and lately whenever I’ve tried to play an ad video to get a gem or do a 30 minute time skip the ad video wouldn’t load and in order to continue playing I had to close the game and reopen it
US	5	2022-11-25	7.0.2	newton 1945	Issue with app loading icon	"Every time I click on watch video to get a gem or reward or anything else on the app the loading icon just shows up on the screen and stays there permanently. Please fix , I really like this game.
Thank you newspaper’s 1945"
US	2	2022-11-25	7.0.2	GayBoi95	Ads	The game is fun but you cant even breathe without getting an ad. Every time i tried to do something i got an ad. All they want is money.
US	5	2022-11-22	7.0.2	brody herrera	DragonML	This game is really fun and I love dragons and that’s YouTube profile picture🙂🙂🙂🙂😄😄😄😄😄🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩
US	5	2022-11-21	7.0.2	gameer girl🖤	So fun	This game is so fun I can’t stop playing it!!!❤️❤️❤️❤️
US	5	2022-11-20	7.0.2	🤑🤕🤕👹🤒🤒	Reallllllly fun but......	"So when I started
Playing I was 5 and now I’m older and still play it it is for all ages and it is so entertaining. But it has soooooo much space being used in your phone and I hate that but everything else amazing"
US	5	2022-11-19	7.0.2	jamesondragonsbff	🩸	I can not wait to get op!
US	5	2022-11-19	7.0.2	Paradgie	very fun	I spend lots of time on this and there are endless amounts of friends and dragons to make! And, clans can make that enjoyment even better. In this claim, i’m saying that this game is really good and that I recommend playing it if you have not downloaded it yet. Its just endless hours of fun and enjoyment.
US	3	2022-11-18	7.0.2	private name bo one can know	Fun but annoying ads	It is a pretty fun game but it is just another game following a really common style. Other than that the main reason for my rating is because they semi recently added forced ads into the game. The ads are rather short but it is still annoying having to watch a forced ad.
US	4	2022-11-18	7.0.2	JXycle	Can you guys remove ads?	I’ve been obsessed with this game for a few years because I loved it in my childhood and it had no ads at all at that time. I recently got it again to see what’s different about it and to relive the nostalgia and I come back to a bunch of ads. Some of them glitch and cause my game to stop working. I constantly have to close and reopen the app because the ads keep disrupting my game. Otherwise, it’s a great game and everything else is fine. Thank you.
US	5	2022-11-15	7.0.2	theflyingchikin (lol)	Server offline	"When I try to play it keeps telling me that the server is offline 
“Unable to reach dragolandia. Sorry, the servers are currently down! We’re working as fast as possible to remedy the situation.”"
US	3	2022-11-15	7.0.2	ghtyhfb	Too Many Ads	This game is very fun and i’ve recently started to get back into it, i like the way things have changed but there are so many ads, I feel like i only get to do a couple things before i run into a non skipable ad, game is fun but way to many ads
US	2	2022-11-13	7.0.2	dragonlovestacos	I lost all my progress!	I really enjoy this game, I don’t really have any problems with it, BUT i stopped playing this game for like a year or something so I decided to check on it and WOW ALL MY PROGRESS IS GONE AND IM GOING THROUGH THE TUTORIAL AGAIN 👏 I don’t know how to get my progress back and I don’t know what my other account was
US	5	2022-11-12	7.0.2	cow wolf	So good	Best game EVER
US	5	2022-11-10	7.0.2	iamyourdog	Add live pvp	instead of AI conducted teams of the other player in arena. would be awesome
US	1	2022-11-09	7.0.2	nanneWhx	Anuncios y pop out inesesarios	Me salen anuncios sin yo haberlos escogido y también los anuncios de el juego para que compre cosas es bien I cómo no poder jugar bien para que siguen poniendo los anuncios de el juego para que compres diamantes y uno sabe donde conseguirlos no me los tienen que estar tirando en la cara a cada segundo!!!!déjenlos en un menú donde entres y veas todo me molesta al jugar 😡😡😒
US	1	2022-11-09	7.0.2	paramedicmelissa	Just ok	An ok game. Extremely difficult to advance in the game unless you pay lots of $$$$.
US	5	2022-11-07	7.0.2	the monster king.	THIS IS THE BEST!!!	hello! almost everything is amazing! the only thing that is wrong is that I can’t give myself a player name.😕
US	1	2022-11-07	7.0.2	Dragonking001	Wasted time	Been playing for years only to see the game go from a 4 star to less then 1, if I could give less then 1 I would, events have become cash grab to even if you play every single day and miss no resets. You spent the entire time getting close to the end only to get nothing. Causing the game to become more money hungry. Dungeon is so terrible and it’s the main way to get event currency for awhile. I used to get so much stuff and enjoy the game. Now it just scraps for nothing and has not been enjoyable. Just a waste of time.
US	3	2022-11-05	7.0.2	puppy and dragon fan	Really?	This is a knockoff of dragon city. But I got to say, the graphics are ok. It’s a little original. But mostly just a ripoff. Maybe make something a little more original? The thing that makes me know instantly it’s an knockoff is the name. Dragon mania legends? Just try something more original next time please. But it’s better than the ripoff I saw of seven eleven called seven twelve. So congratulations making it not THAT bad.
US	1	2022-11-04	7.0.2	hhhhhhhhhhhhaaaaaaahhh	Review	4 years ago this was the best game now you cannot go five minutes without seeing ads. Disappointed.
US	5	2022-11-03	7.0.2	DJ.SDK	Best game	This is the best game in the world
US	2	2022-10-28	7.0.2	jayveau	KEEPS CRASHING	love this game but keeps crashing when trying to use battle mode or other arenas. Please fix!!!
US	2	2022-10-26	7.0.2	robbot3217	Too many ads	Fun game but the ads are out of control. I’m good with a few but the frequency is… aggressive
US	4	2022-10-25	7.0.2	воопооипгш	Good	Игра хороша но редко обновления
US	1	2022-10-23	7.0.2	Saja999	Too many ads	Even if there ads for rewards options available,there way too many pop up ads 5m gaming includes 2-3 ads ,ridiculous
US	5	2022-10-18	7.0.1	ORiginal Dragyn	Hope my clan sees	Im MamaDragyn, and I’m still here! Level 93 or so, yeah! Love,love love this game!!!
US	5	2022-10-17	7.0.1	gavin jay	Yo	96bdc9 my code
US	5	2022-10-16	7.0.1	gut poop chicken head	So good	This game is so fun you can get a lot of dragons 😆
US	5	2022-10-15	7.0.1	pacman2000:)	Love it	This app was a perfect to entertain me, I literally play it every day,Irecommend  u should get it
US	5	2022-10-15	7.0.1	was ggfggggggggggggggggg	Dragon Mile legends	Little
